Date,Frankfurt_CDD,Madrid_CDD,Helsinki_CDD,Gas_Price_EUR,Carbon_Price,Frankfurt_CO2_Intensity,Madrid_CO2_Intensity,Helsinki_CO2_Intensity,Frankfurt_Power_Price_EUR,Madrid_Power_Price_EUR,Helsinki_Power_Price_EUR,Frankfurt_Grid_Stress
2020-03-01,0.0,10.200000000000003,0.0,1.7311818112026562,14.057076454162598,331.11,142.36,159.33,9.993713624477387,7.722415073459798,5.905376232645729,5.082713841850107
2020-04-01,9.000000000000004,0.0,0.0,1.7593333437329246,14.057076454162598,302.39,157.86,154.12,10.055646996043977,7.770272678761255,5.941973224935077,6.896789608115242
2020-05-01,20.900000000000002,138.6,0.0,1.8091500103473663,14.057076454162598,308.64,166.86,126.95,10.16524366259575,5.0,6.006734891533851,9.301697941422463
2020-06-01,65.80000000000001,199.5,18.3,1.7008636322888462,14.057076454162598,347.31,207.18,126.88,9.927013630867007,5.0,5.8659626000577765,18.227554752393203
2020-07-01,128.9,418.7,4.300000000000004,1.7649545452811501,14.057076454162598,351.5,219.49,77.26,10.068013639450074,5.0,5.949280786947771,30.879600208889354
2020-08-01,175.60000000000002,317.0,10.100000000000001,2.343476204645066,14.308048974900018,377.42,214.62,112.13,11.451189199175154,5.0,6.7666117995125905,40.584152794792544
2020-09-01,71.3,144.39999999999998,0.0,2.2802381004605974,14.677625292823429,425.2,213.12,136.84,11.474678949855623,8.86679737034298,6.780492106732868,19.803406638077327
2020-10-01,0.0,23.399999999999995,0.0,2.83622728694569,13.815595453435725,391.88,170.2,157.51,12.318562030792238,9.51888884197582,7.2791502909226855,5.562792279503562
2020-11-01,0.0,0.0,0.0,2.8719499707221985,14.410554790496827,447.66,194.15,142.63,27.65893404340744,9.78190357899666,7.480279207468034,5.759141422510147
2020-12-01,0.0,0.0,0.0,2.584272709759799,16.460547577251088,431.73,144.94,183.52,27.928040895462036,9.989849782857029,7.639296892773022,6.230300628055225
2021-01-01,0.0,0.0,0.0,2.648736840800235,17.51345483880294,455.76,148.8,219.14,28.533141178833812,10.4574272745534,32.99685615112907,6.578404872040998
2021-02-01,0.0,0.0,0.0,2.916999992571379,18.953374762284128,395.49,108.11,224.16,29.75688487906205,11.403047406547946,33.719977428536666,7.1445124249709275
2021-03-01,0.3999999999999986,5.099999999999998,0.0,2.622043454128763,19.698273866072945,380.5,133.3,175.62,14.435736100155378,11.1548869864837,8.530207695546359,7.300503886886265
2021-04-01,1.0,2.799999999999997,0.0,2.6850952420915877,20.95167977469308,373.01,180.67,157.0,15.12594863346645,11.688233034951347,8.938060556139266,7.828051553453718
2021-05-01,7.599999999999998,102.69999999999999,0.0,2.959499990940094,23.766387748718262,314.13,156.41,124.03,16.968110589504246,5.0,10.026610802888872,10.129666320085525
2021-06-01,130.0,203.7,38.19999999999999,3.2724090814590454,24.196270855990324,402.94,198.41,79.25,17.84565915584564,5.0,10.545162228454243,34.89508579752662
2021-07-01,67.9,340.2,85.0,3.815047650110154,24.477935518537247,382.65,173.18,79.01,19.163396458398733,5.0,11.323825179962887,22.830904480616255
2021-08-01,48.49999999999999,360.0,0.0,4.031454519792036,25.7650410045277,370.49,184.37,93.28,20.20581798553467,5.0,11.939801536906849,19.445239561254326
2021-09-01,41.8,112.1,0.0,5.114857128688267,27.845726648966473,465.87,223.43,154.49,23.504805408659436,18.162804179418654,13.889203196026031,19.271146559034072
2021-10-01,2.1000000000000014,35.0,0.0,5.570619015466599,28.128347033546085,403.14,211.93,122.92,24.6318345287868,19.033690317698888,14.555174948828563,11.643813617797123
2021-11-01,0.0,0.0,0.0,5.120238099779401,30.83066395350865,475.06,236.75,156.25,39.83001595905849,19.186830513817924,14.672282157625473,11.809318235942296
2021-12-01,0.0,0.0,0.0,3.863818190314553,34.44141908125444,450.51,208.74,222.95,38.65462441444397,18.278573411161247,13.977732608535073,12.264334819533607
2022-01-01,0.0,0.0,0.0,4.2554499983787535,35.635546875,434.4,221.17,187.77,40.04163062143326,19.350350934743883,39.79732718539238,12.818389061689377
2022-02-01,0.0,0.0,0.0,4.4630000214827685,36.6521554244192,339.61,212.54,184.0,40.94554843400654,20.048832880823234,40.33146043827659,13.227146638067143
2022-03-01,0.0,0.0,0.0,4.979304334391719,30.83936765919561,481.35,189.38,160.71,24.523791305707853,18.95020237259243,14.491331226100094,11.741462464954541
2022-04-01,0.6000000000000014,16.799999999999997,0.0,6.70460000038147,33.155644226074216,398.97,171.08,148.83,29.338603460311894,22.670739037513734,17.33644749927521,13.418993268013
2022-05-01,57.3,163.7,0.0,8.163476194654192,33.552191779727025,404.89,176.44,143.36,32.722612011319114,5.285654736019314,19.336088915779477,25.607395631245204
2022-06-01,131.4,278.0,15.599999999999998,7.597904772985549,33.22852071126302,435.67,235.53,98.16,31.33593961352394,5.0,18.5166915898096,40.04750859987168
2022-07-01,168.8,457.9,16.500000000000004,7.186950016021728,31.287134742736818,422.95,243.8,83.7,29.577629322052005,5.0,17.47769005393982,46.73961543083192
2022-08-01,214.7,377.6,31.800000000000004,8.77947819751242,33.19030828061311,474.77,237.72,98.43,33.918587677997095,6.209817751179571,20.042801809725553,57.28683158294014
2022-09-01,26.6,155.9,0.0,7.757523854573567,27.229035967872257,468.3,233.57,110.5,29.047328305925646,22.44566278185163,17.164330362592427,17.36747271764846
2022-10-01,0.5,78.5,0.0,6.084904738834926,27.258101054600306,419.17,230.62,122.9,25.380354889460975,19.61209241458348,14.997482434681483,11.319882685797554
2022-11-01,0.0,0.0,0.0,6.42976188659668,29.186589013962518,450.44,178.21,198.29,41.987575316656205,20.854035471961613,15.947203596205942,11.970857647487096
2022-12-01,0.0,0.0,0.0,5.768047582535517,32.26750855218796,478.73,177.71,218.75,41.88740844454084,20.776633798054284,15.888014080865041,12.564276356924147
2023-01-01,0.0,0.0,0.0,3.42279999256134,31.025779056549073,421.92,114.08,146.47,36.181502768516545,16.367524866580965,37.5163425450325,11.019133713245392
2023-02-01,0.0,0.0,0.0,2.437473673569529,33.47659562763415,456.66,184.07,156.25,35.09214415801199,15.525747758463806,36.872630638825264,11.261715525075008
